Time,I,R
1,221,8
2,311,11
3,385,15
4,588,62
5,821,67
6,1049,79
7,1577,117
8,1835,201
9,2263,239
10,2706,383
11,3296,562
12,3916,720
13,5061,822
14,6387,988
15,7985,1187
16,8514,1635
17,10590,1872
18,12839,2274
19,14955,2705
20,17750,3407
21,20603,4144
22,23073,4907
23,26062,5444
24,28710,7003
25,33190,7845
26,37860,9161
27,42681,10897
28,46638,12500
29,50418,13509
30,54030,15146
31,57521,16865
32,62013,18526
33,66414,20084
34,70065,22407
35,73880,23809
36,75528,26211
37,77635,28157
38,80572,30002
39,83049,32193
40,85388,34439
41,88274,36358
42,91246,37702
43,93187,39360
44,94067,41519
45,95262,44160
46,96877,46749
47,98273,49304
48,100269,52002
49,102253,54110
50,103616,55900
51,104291,58197
52,105418,59737
53,106607,62334
54,106962,65472
55,107771,68154
56,108257,70715
57,108237,72991
58,107709,76248
59,107699,79628
60,106848,83125
61,106527,86467
62,105847,89504
63,106103,91572
64,105813,93601
65,105205,96300
66,104657,98934
67,101551,103912
68,100943,106485
69,100704,108624
70,100179,110538
71,99980,111958
72,98467,114546
73,91528,122929
74,89624,126234
75,87961,129224
76,84842,133426
77,83324,135746
78,82488,137326
79,81266,139950
80,78457,143647
81,76440,146656
82,72070,151815
83,70187,154573
84,68351,157084
85,66553,159333
86,65129,161570
87,62752,164612
88,60960,167046
89,59322,169336
90,57752,171575
91,56594,173264
92,55300,174858
93,52942,177613
94,50966,180173
95,47986,183746
96,46175,186073
97,43691,188973
98,42097,190922
99,41367,191830
100,39893,193622
101,39297,194539
102,38429,195584
103,36976,197555
104,35877,198924
105,35262,199736
106,34730,200548
107,32872,202689
108,31710,204053
109,30637,205505
110,28997,207308
111,27485,209166
112,26274,210715
113,25909,211381
114,24569,212931
115,23925,213903
116,23101,215058
117,21543,216468
118,21212,217063
119,20972,217527
120,20637,218083
121,19573,219260
122,18655,220755
123,18303,221403
124,17638,222323
125,16836,223300
126,16681,223629
127,16496,223940
128,15563,225015
129,15255,225505
130,15060,225901
131,14884,226300
132,14621,226798
133,14642,226969
134,14709,227110
135,14242,227714
136,13595,228554
137,13459,228904
138,13428,229211
139,13303,229524
140,13179,229882
141,13157,230073
142,12919,230425
143,12493,231013
144,12473,231263
145,12456,231511
146,12368,231848
147,12440,231994
148,12404,232220
149,12248,232504
150,12322,232710
151,12404,232934
152,12301,233289
153,12442,233422
154,12565,233553
155,12581,233705
156,12609,233879
157,12616,234160
158,12230,234928
159,12422,235115
160,12457,235375
161,12456,235614
162,12474,235755
163,12482,235937
164,12646,236157
165,12694,236510
166,12924,236832
167,12953,237150
168,13263,237303
169,13368,237457
170,13561,237676
